fossil_id,description,object_name,strat_type,period,taxonomy,url
6696,"Fossilised remains of half of Silurian brachiopod, Kirkidium knightii  showing septum",Brachiopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Kirkidium knightii,https://data.nhm.ac.uk/media/ludlow:G.00400.001b.jpg; https://data.nhm.ac.uk/media/ludlow:G.00400.001a.jpg
7620,"Fossilised remains of headshield of the Devonian cephalaspid  fish, Cephalaspis sp. found at Meadowley Hill. Headshield nearly complete in a course conglomerate matrix.",Fish,Chronostratigraphy,Devonian Period,Cephalaspis sp.,https://data.nhm.ac.uk/media/ludlow:G.09365.002a.jpg; https://data.nhm.ac.uk/media/ludlow:G.09365.002b.jpg
6658,"Fossilised remains of the Silurian heliotid tabulate coral, Plasmopora sp. The individual corallites are circular in outline and separeated by coenenchyme.",CORAL,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Plasmopora sp.,https://data.nhm.ac.uk/media/ludlow:G.00122a.jpg; https://data.nhm.ac.uk/media/ludlow:G.00122b.jpg; https://data.nhm.ac.uk/media/ludlow:G.00122c.jpg
6673,"Fossilised remains of phragmacone of the Silurian cephalopod, Orthoceras ibex, found at Mocktree.",Cephalopod,Chronostratigraphy,Silurian Period,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.00183.jpg
6669,"Fossilised complete shell of the Silurian orthide brachiopod, Dalejina hybrida. The shell is symmetrical and equivalve and displays fine radial ribbing. Found at Buildwas. Mounted on card with G.00171, G.00173 and G.00174",Brachiopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Dalejina hybrida,https://data.nhm.ac.uk/media/ludlow:G.00172.jpg
6703,"Fossilised remains of the Ordovician brachiopod Strophomena expansa, mostly in the form of internal moulds of single valves. Some original shell material. Also present are the Cricoconarid Tentaculites. Found by Bason, Miss at Cheney Longville",Brachiopod; Cricoconarida,Chronostratigraphy,Ordovician Period,Strophomena expansa; Tentaculites anglicus,https://data.nhm.ac.uk/media/ludlow:G.00483.jpg
8600,Fossilised Devonian plant remains found at Meadowley Wood.,Plant,Chronostratigraphy,Devonian Period,Plantae,https://data.nhm.ac.uk/media/ludlow:G.20106.jpg
6717,"Fossilised remains of single valves of the Ordovician brachiopod Dalmanella unguis. Found at Cheney Longville, Shropshire.",Brachiopod,Chronostratigraphy,Ordovician Period,Dalmanella unguis,https://data.nhm.ac.uk/media/ludlow:G.01136.jpg
6714,Fossilised remains of the valve of the Ordovician brachiopod Harknessella vespertilio. Believed to have been collected from the Craven Arms area.,Brachiopod,Chronostratigraphy,Ordovician Period,Harknessella vespertilio,https://data.nhm.ac.uk/media/ludlow:G.01087.jpg
6677,"Fossilised remains of phragmacone of the Silurian cephalopod, Orthoceras ibex, found at Mocktree.",Cephalopod,Chronostratigraphy,Silurian Period,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.00187.jpg
6728,Fossilised shell fragments of the Silurian brachiopod Strophonella euglypha and bivalve Pterinea lineatula found at Bringewood.,Brachiopod; BIVALVE,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Strophonella euglypha; Pterinea lineatula,https://data.nhm.ac.uk/media/ludlow:G.01627.jpg
7209,"Fossilised remains of a Devonian lung fish, Dipterus valenciennesi, showing a series of overlapping scales. Found at Caithness.",Fish,"Chronostratigraphy, Lithostratigraphy",Devonian Period,Dipterus valenciennesi,https://data.nhm.ac.uk/media/ludlow:G.06104.jpg
