_id,coll_name,coll_place,description,lat,long,object_name,object_number,os_gridref,priref,repro_ref,strat_type,strat_unit,taxonomy,url
6696,unknown,Unknown,"Fossilised remains of half of Silurian brachiopod, Kirkidium knightii  showing septum",,,Brachiopod,G.00400.001,unknown,654725,G.00400.001b.jpg; G.00400.001a.jpg,"Chronostratigraphy, Lithostratigraphy",Silurian Period; Aymestry Limestone Member,Kirkidium knightii,https://data.nhm.ac.uk/media/ludlow:G.00400.001b.jpg; https://data.nhm.ac.uk/media/ludlow:G.00400.001a.jpg
7620,"Tarrant, P.; Tarrant, M.",Meadowley Hill,"Fossilised remains of headshield of the Devonian cephalaspid  fish, Cephalaspis sp. found at Meadowley Hill. Headshield nearly complete in a course conglomerate matrix.",52.5338717,-2.4879199,Fish,G.09365.002,SO6793,659204,G.09365.002a.jpg; G.09365.002b.jpg,Chronostratigraphy,Devonian Period; Ditton Series,Cephalaspis sp.,https://data.nhm.ac.uk/media/ludlow:G.09365.002a.jpg; https://data.nhm.ac.uk/media/ludlow:G.09365.002b.jpg
6658,unknown,Unknown,"Fossilised remains of the Silurian heliotid tabulate coral, Plasmopora sp. The individual corallites are circular in outline and separeated by coenenchyme.",,,CORAL,G.00122,unknown,655457,G.00122a.jpg; G.00122b.jpg; G.00122c.jpg,"Chronostratigraphy, Lithostratigraphy",Silurian Period; Wenlock Series; Much Wenlock Limestone Formation,Plasmopora sp.,https://data.nhm.ac.uk/media/ludlow:G.00122a.jpg; https://data.nhm.ac.uk/media/ludlow:G.00122b.jpg; https://data.nhm.ac.uk/media/ludlow:G.00122c.jpg
6673,unknown,Mocktree,"Fossilised remains of phragmacone of the Silurian cephalopod, Orthoceras ibex, found at Mocktree.",52.37896386,-2.85347927,Cephalopod,G.00183,SO4276,52039,G.00183.jpg,Chronostratigraphy,Silurian Period; Ludlow Series,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.00183.jpg
6669,unknown,Buildwas,"Fossilised complete shell of the Silurian orthide brachiopod, Dalejina hybrida. The shell is symmetrical and equivalve and displays fine radial ribbing. Found at Buildwas. Mounted on card with G.00171, G.00173 and G.00174",52.63256495,-2.53334302,Brachiopod,G.00172,SJ6404,52030,G.00172.jpg,"Chronostratigraphy, Lithostratigraphy",Silurian Period; Wenlock Series; Wenlock Shale Formation,Dalejina hybrida,https://data.nhm.ac.uk/media/ludlow:G.00172.jpg
6703,"Bason, Miss",Cheney Longville,"Fossilised remains of the Ordovician brachiopod Strophomena expansa, mostly in the form of internal moulds of single valves. Some original shell material. Also present are the Cricoconarid Tentaculites. Found by Bason, Miss at Cheney Longville",52.45087738,-2.85486851,Brachiopod; Cricoconarida,G.00483,SO4284,54490,G.00483.jpg,Chronostratigraphy,Ordovician Period,Strophomena expansa; Tentaculites anglicus,https://data.nhm.ac.uk/media/ludlow:G.00483.jpg
8600,"Tarrant, P.; Tarrant, M.",Meadowley Wood,Fossilised Devonian plant remains found at Meadowley Wood.,52.5338717,-2.4879199,Plant,G.20106,SO6793,658579,G.20106.jpg,Chronostratigraphy,Devonian Period,Plantae,https://data.nhm.ac.uk/media/ludlow:G.20106.jpg
6717,"Shephard, H.H.",Cheney Longville,"Fossilised remains of single valves of the Ordovician brachiopod Dalmanella unguis. Found at Cheney Longville, Shropshire.",52.45087738,-2.85486851,Brachiopod,G.01136,SO4284,54563,G.01136.jpg,Chronostratigraphy,Ordovician Period; Caradoc Series,Dalmanella unguis,https://data.nhm.ac.uk/media/ludlow:G.01136.jpg
6714,unknown,Craven Arms District,Fossilised remains of the valve of the Ordovician brachiopod Harknessella vespertilio. Believed to have been collected from the Craven Arms area.,52.43300438,-2.83981418,Brachiopod,G.01087,SO4382,54813,G.01087.jpg,Chronostratigraphy,Ordovician Period; Caradoc Series,Harknessella vespertilio,https://data.nhm.ac.uk/media/ludlow:G.01087.jpg
6677,unknown,Mocktree,"Fossilised remains of phragmacone of the Silurian cephalopod, Orthoceras ibex, found at Mocktree.",52.37896386,-2.85347927,Cephalopod,G.00187,SO4276,52043,G.00187.jpg,Chronostratigraphy,Silurian Period; Ludlow Series,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.00187.jpg
