fossil_id,description,object_name,period,taxonomy,url,local_path
6696,"Fossilised remains of half of Silurian brachiopod, Kirkidium knightii  showing septum",Brachiopod,Silurian Period,Kirkidium knightii,https://data.nhm.ac.uk/media/ludlow:G.00400.001b.jpg,images/6696_Silurian_Period_Brachiopod.jpg
7620,"Fossilised remains of headshield of the Devonian cephalaspid  fish, Cephalaspis sp. found at Meadowley Hill. Headshield nearly complete in a course conglomerate matrix.",Fish,Devonian Period,Cephalaspis sp.,https://data.nhm.ac.uk/media/ludlow:G.09365.002a.jpg,images/7620_Devonian_Period_Fish.jpg
6658,"Fossilised remains of the Silurian heliotid tabulate coral, Plasmopora sp. The individual corallites are circular in outline and separeated by coenenchyme.",CORAL,Silurian Period,Plasmopora sp.,https://data.nhm.ac.uk/media/ludlow:G.00122a.jpg,images/6658_Silurian_Period_CORAL.jpg
6673,"Fossilised remains of phragmacone of the Silurian cephalopod, Orthoceras ibex, found at Mocktree.",Cephalopod,Silurian Period,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.00183.jpg,images/6673_Silurian_Period_Cephalopod.jpg
6669,"Fossilised complete shell of the Silurian orthide brachiopod, Dalejina hybrida. The shell is symmetrical and equivalve and displays fine radial ribbing. Found at Buildwas. Mounted on card with G.00171, G.00173 and G.00174",Brachiopod,Silurian Period,Dalejina hybrida,https://data.nhm.ac.uk/media/ludlow:G.00172.jpg,images/6669_Silurian_Period_Brachiopod.jpg
6703,"Fossilised remains of the Ordovician brachiopod Strophomena expansa, mostly in the form of internal moulds of single valves. Some original shell material. Also present are the Cricoconarid Tentaculites. Found by Bason, Miss at Cheney Longville",Brachiopod; Cricoconarida,Ordovician Period,Strophomena expansa; Tentaculites anglicus,https://data.nhm.ac.uk/media/ludlow:G.00483.jpg,images/6703_Ordovician_Period_Brachiopod;_Cricoconarida.jpg
8600,Fossilised Devonian plant remains found at Meadowley Wood.,Plant,Devonian Period,Plantae,https://data.nhm.ac.uk/media/ludlow:G.20106.jpg,images/8600_Devonian_Period_Plant.jpg
6717,"Fossilised remains of single valves of the Ordovician brachiopod Dalmanella unguis. Found at Cheney Longville, Shropshire.",Brachiopod,Ordovician Period,Dalmanella unguis,https://data.nhm.ac.uk/media/ludlow:G.01136.jpg,images/6717_Ordovician_Period_Brachiopod.jpg
6714,Fossilised remains of the valve of the Ordovician brachiopod Harknessella vespertilio. Believed to have been collected from the Craven Arms area.,Brachiopod,Ordovician Period,Harknessella vespertilio,https://data.nhm.ac.uk/media/ludlow:G.01087.jpg,images/6714_Ordovician_Period_Brachiopod.jpg
6677,"Fossilised remains of phragmacone of the Silurian cephalopod, Orthoceras ibex, found at Mocktree.",Cephalopod,Silurian Period,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.00187.jpg,images/6677_Silurian_Period_Cephalopod.jpg
6728,Fossilised shell fragments of the Silurian brachiopod Strophonella euglypha and bivalve Pterinea lineatula found at Bringewood.,Brachiopod; BIVALVE,Silurian Period,Strophonella euglypha; Pterinea lineatula,https://data.nhm.ac.uk/media/ludlow:G.01627.jpg,images/6728_Silurian_Period_Brachiopod;_BIVALVE.jpg
7209,"Fossilised remains of a Devonian lung fish, Dipterus valenciennesi, showing a series of overlapping scales. Found at Caithness.",Fish,Devonian Period,Dipterus valenciennesi,https://data.nhm.ac.uk/media/ludlow:G.06104.jpg,images/7209_Devonian_Period_Fish.jpg
6762,"Fossilised remains of phragmacone of the Silurian cephalopod Orthoceras sp. found at Linney, Ludlow.",Cephalopod,Silurian Period,Orthoceras sp.,https://data.nhm.ac.uk/media/ludlow:G.02153.jpg,images/6762_Silurian_Period_Cephalopod.jpg
6719,Fossilised fragments of the Ordovician cricoconarid Tentaculites anglicus. Found at Bromfield (washed downstream to Bromfield from Ordovician above Craven Arms),Cricoconarid,Ordovician Period,Tentaculites anglicus,https://data.nhm.ac.uk/media/ludlow:G.01386.jpg,images/6719_Ordovician_Period_Cricoconarid.jpg
6716,Fossilised remains of the Ordovician brachiopod Sowerbyella sericea. Internal mould of single valves as well as external shell fragments.,Brachiopod,Ordovician Period,Sowerbyella sericea,https://data.nhm.ac.uk/media/ludlow:G.01134.jpg,images/6716_Ordovician_Period_Brachiopod.jpg
6826,"Fossilised remains of an Incomplete cephalon of the Silurian trilobite Dalmanites vulgaris, showing pronounced eyes. Found at Upper Millichope",Trilobite,Silurian Period,Dalmanites sp.,https://data.nhm.ac.uk/media/ludlow:G.02966.jpg,images/6826_Silurian_Period_Trilobite.jpg
7213,"Fragmentary fossilised remains, including scales, of the Devonian fish, Dipterus valenciennesi found at Acanarras Quarry, Spittal",Fish,Devonian Period,Dipterus valenciennesi,https://data.nhm.ac.uk/media/ludlow:G.06134.jpg,images/7213_Devonian_Period_Fish.jpg
6787,"Fossilised remains of the Ordovician trilobite Ogyginus intermedius found at Hillside,  Llandridod Wells",Trilobite,Ordovician Period,Ogyginus intermedius,https://data.nhm.ac.uk/media/ludlow:G.02415.jpg,images/6787_Ordovician_Period_Trilobite.jpg
6739,"Fossilised shell fragment of the Silurian gastropod, Cyclonema octavia found at Norton Lane Quarry, Craven Arms, Shropshire.",Gastropod,Silurian Period,Cyclonema octavia,https://data.nhm.ac.uk/media/ludlow:G.01954.jpg,images/6739_Silurian_Period_Gastropod.jpg
6837,"Fossilised remains of cephalon of the Silurian trilobite, Dalmanites myops. Showing well preserved crescentic eyes and glabella. Found at Upper Millichope, Shropshire.",Trilobite,Silurian Period,Dalmanites myops,https://data.nhm.ac.uk/media/ludlow:G.03119.jpg,images/6837_Silurian_Period_Trilobite.jpg
7217,Fossilised remains of fish Osteolepis sp. an extinct genus of lobe-finned fish from the Devonian period. It lived in the Lake Orcadie of northern Scotland. It was a rhipidistianand and had a number of features in common with tetrapods.,Fish,Devonian Period,Osteolepis sp.,https://data.nhm.ac.uk/media/ludlow:G.06191.jpg,images/7217_Devonian_Period_Fish.jpg
6809,"Fossilised remains of the Ordovician trilobite Ogyginus corndensis found at Upper Gilwern, Howey",Trilobite,Ordovician Period,Ogyginus corndensis,https://data.nhm.ac.uk/media/ludlow:G.02661.jpg,images/6809_Ordovician_Period_Trilobite.jpg
6748,"Fossilised shell remains of the Silurian bivalve Fuchsella amygdalina found at Linney, Ludlow.",BIVALVE,Silurian Period,Fuchsella amygdalina,https://data.nhm.ac.uk/media/ludlow:G.02050.jpg,images/6748_Silurian_Period_BIVALVE.jpg
6750,Fossilised remains of phragmocone of the Silurian cephalopod Orthoceras ibex cephalopod  found at Whitcliffe Ludlow.,Cephalopod,Silurian Period,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.02052.001.jpg,images/6750_Silurian_Period_Cephalopod.jpg
6845,"Fossilised remains of segment of phragmacone of the Silurian cephalopod, Leurocycloceras whitcliffense. Found in Wassall Quarry, Leintwardine.",Cephalopod,Silurian Period,Leurocycloceras whitcliffense,https://data.nhm.ac.uk/media/ludlow:G.03163.002.jpg,images/6845_Silurian_Period_Cephalopod.jpg
7025,"Fossilised fragments of Silurian gastropod Loxonema sinuosa and trilobite Dalmanites myops, found at Upper Millichope",Gastropod; Trilobite,Silurian Period,Loxonema sinuosa; Cyclonema sp.; Dalmanites myops,https://data.nhm.ac.uk/media/ludlow:G.03995a.jpg,images/7025_Silurian_Period_Gastropod;_Trilobite.jpg
6839,Fossilised remains of partial phragmocone of the Silurian orthocone cephalopod Orthoceras nicholianum,Cephalopod,Silurian Period,Orthoceras nicholianum,https://data.nhm.ac.uk/media/ludlow:G.03135.jpg,images/6839_Silurian_Period_Cephalopod.jpg
6782,"Fossilised remains of fragment of the phragmacone of the Silurian orthocone cephalopod, Orthoceras ludense.",Cephalopod,Silurian Period,Orthoceras ludense,https://data.nhm.ac.uk/media/ludlow:G.02274a.jpg,images/6782_Silurian_Period_Cephalopod.jpg
6752,"Fossilised remains of phragmocone from the Silurian cephalopod Orthoceras ibex, showing septa. Found at Bringewood.",Cephalopod,Silurian Period,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.02055.jpg,images/6752_Silurian_Period_Cephalopod.jpg
6850,"Fossilised remains of fragment of the phragmocone of the Silurian cephalopod, Orthoceras perversum. Mounted. Found at Dinham Bridge",Cephalopod,Silurian Period,Orthoceras perversum,https://data.nhm.ac.uk/media/ludlow:G.03192a.jpg,images/6850_Silurian_Period_Cephalopod.jpg
6862,"Fossilised remains of the septum of the Silurian cephalopod, Leurocycloceras whitcliffense. Position of the hyponomic foramen visible on the septal surface.",Cephalopod,Silurian Period,Leurocycloceras whitcliffense,https://data.nhm.ac.uk/media/ludlow:G.03258.jpg,images/6862_Silurian_Period_Cephalopod.jpg
6786,"Fossilised remains, including pygidium and part of thorax, of the Ordovician trilobite Ogyginus corndensis",Trilobite,Ordovician Period,Ogyginus corndensis,https://data.nhm.ac.uk/media/ludlow:G.02394.jpg,images/6786_Ordovician_Period_Trilobite.jpg
6756,Fossilised remains of phragmocone of the Silurian cephalopod Orthoceras perversum found at Linney below Ludlow Castle.,Cephalopod,Silurian Period,Orthoceras perversum,https://data.nhm.ac.uk/media/ludlow:G.02104.jpg,images/6756_Silurian_Period_Cephalopod.jpg
