fossil_id,description,object_name,period,taxonomy,url,local_path,augmented
6696,"Fossilised remains of half of Silurian brachiopod, Kirkidium knightii  showing septum",Brachiopod,Silurian Period,Kirkidium knightii,https://data.nhm.ac.uk/media/ludlow:G.00400.001b.jpg,..\Data\images_augmented\6696_Silurian_Period_Brachiopod.jpg,False
7620,"Fossilised remains of headshield of the Devonian cephalaspid  fish, Cephalaspis sp. found at Meadowley Hill. Headshield nearly complete in a course conglomerate matrix.",Fish,Devonian Period,Cephalaspis sp.,https://data.nhm.ac.uk/media/ludlow:G.09365.002a.jpg,..\Data\images_augmented\7620_Devonian_Period_Fish.jpg,False
6658,"Fossilised remains of the Silurian heliotid tabulate coral, Plasmopora sp. The individual corallites are circular in outline and separeated by coenenchyme.",CORAL,Silurian Period,Plasmopora sp.,https://data.nhm.ac.uk/media/ludlow:G.00122a.jpg,..\Data\images_augmented\6658_Silurian_Period_CORAL.jpg,False
6673,"Fossilised remains of phragmacone of the Silurian cephalopod, Orthoceras ibex, found at Mocktree.",Cephalopod,Silurian Period,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.00183.jpg,..\Data\images_augmented\6673_Silurian_Period_Cephalopod.jpg,False
6669,"Fossilised complete shell of the Silurian orthide brachiopod, Dalejina hybrida. The shell is symmetrical and equivalve and displays fine radial ribbing. Found at Buildwas. Mounted on card with G.00171, G.00173 and G.00174",Brachiopod,Silurian Period,Dalejina hybrida,https://data.nhm.ac.uk/media/ludlow:G.00172.jpg,..\Data\images_augmented\6669_Silurian_Period_Brachiopod.jpg,False
6703,"Fossilised remains of the Ordovician brachiopod Strophomena expansa, mostly in the form of internal moulds of single valves. Some original shell material. Also present are the Cricoconarid Tentaculites. Found by Bason, Miss at Cheney Longville",Brachiopod; Cricoconarida,Ordovician Period,Strophomena expansa; Tentaculites anglicus,https://data.nhm.ac.uk/media/ludlow:G.00483.jpg,..\Data\images_augmented\6703_Ordovician_Period_Brachiopod;_Cricoconarida.jpg,False
8600,Fossilised Devonian plant remains found at Meadowley Wood.,Plant,Devonian Period,Plantae,https://data.nhm.ac.uk/media/ludlow:G.20106.jpg,..\Data\images_augmented\8600_Devonian_Period_Plant.jpg,False
6717,"Fossilised remains of single valves of the Ordovician brachiopod Dalmanella unguis. Found at Cheney Longville, Shropshire.",Brachiopod,Ordovician Period,Dalmanella unguis,https://data.nhm.ac.uk/media/ludlow:G.01136.jpg,..\Data\images_augmented\6717_Ordovician_Period_Brachiopod.jpg,False
6714,Fossilised remains of the valve of the Ordovician brachiopod Harknessella vespertilio. Believed to have been collected from the Craven Arms area.,Brachiopod,Ordovician Period,Harknessella vespertilio,https://data.nhm.ac.uk/media/ludlow:G.01087.jpg,..\Data\images_augmented\6714_Ordovician_Period_Brachiopod.jpg,False
6677,"Fossilised remains of phragmacone of the Silurian cephalopod, Orthoceras ibex, found at Mocktree.",Cephalopod,Silurian Period,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.00187.jpg,..\Data\images_augmented\6677_Silurian_Period_Cephalopod.jpg,False
